"start_station_name","start_lat","start_lng","total_rides","casual_rides","casual_percentage"
"Halsted St & North Branch St",41.89939028549696,-87.64854490756989,681,392,57.56
"Grace St & Central Ave",41.9495327,-87.7672648,179,103,57.54
"California Ave & Madison St",41.88098,-87.69598,211,121,57.35
"Montrose Harbor",41.963982,-87.638181,18227,10435,57.25
"Theater on the Lake",41.926277,-87.630834,28303,16139,57.02
"Long Ave & Irving Park Rd",41.95301,-87.76214,165,94,56.97
"Lakefront Trail & Wilson Ave",41.9668559,-87.6430926,6166,3513,56.97
"Prairie Ave & 43rd St",41.81665889302,-87.6194124619,699,398,56.94
"Public Rack - Michigan Ave & Delaware Pl",41.89915253,-87.62377649,577,328,56.85
"Public Rack - Michigan Ave & Wacker Dr (South)",41.88813083,-87.62417237,601,341,56.74
"Addison/Racine Corral",41.9470683,-87.6593535,1660,940,56.63
"Ashland Ave & Pershing Rd",41.823465,-87.665577,419,237,56.56
"DuSable Lake Shore Dr & North Blvd",41.911722,-87.626804,34734,19622,56.49
"North Ave Public Rack - 5",41.9177217,-87.6282882,108,61,56.48
"State St & Pershing Rd",41.82301523798,-87.6265680185,126,71,56.35
"Waveland/Racine Corral",41.9488214,-87.6592823,2090,1177,56.32
"Dauphin Ave & 87th St",41.73648,-87.601252,139,78,56.12
"Central Park Ave & Ohio St",41.89188,-87.71644,139,78,56.12
"Michigan Ave & Ida B Wells Dr",41.876203,-87.624464,7295,4082,55.96
"Stony Island Ave & 63rd St",41.780506,-87.586853,790,441,55.82
"Central Ave & Wellington Ave",41.9349097,-87.7667718,138,77,55.80
"Public Rack - Rush St & Ontario St",41.89310919,-87.62535276,375,209,55.73
"Eberhart Ave & 61st St",41.784071072761,-87.61448353528975,350,194,55.43
"Clark/Newport Corral",41.9449411,-87.654611,1704,944,55.40
"Michigan Ave & Jackson Blvd",41.878556,-87.624146,11098,6148,55.40
"Higgins Ave & Austin Ave",41.97342,-87.77865,152,84,55.26
"Racine/Eddy Corral",41.9463404,-87.6591024,1345,743,55.24
"Public Rack - Rush St & Ohio St",41.89259223,-87.62585969,365,201,55.07
"State St & 79th St",41.750794,-87.624424,201,110,54.73
"California & 16th St",41.859228,-87.695562,211,115,54.50
"Sheffield/Newport Corral",41.9446132,-87.6542018,2883,1569,54.42
"Lakefront Trail & Wilson Ave",41.9658742,-87.6455061,901,490,54.38
"Union Ave & Root St",41.819102,-87.643278,199,108,54.27
"Wood St & 33rd St",41.83427,-87.6706,222,120,54.05
"Rockwell St & Fletcher St",41.938689,-87.692972,100,54,54.00
"Public Rack - Dearborn St & Kinzie St 2",41.8893116,-87.62938824,271,146,53.87
"Addison/Sheffield SE Corral",41.9470281,-87.654252,831,447,53.79
"Public Rack - Clybourn Ave & Webster Ave",41.92155279,-87.66449674,640,341,53.28
"Lake Park Ave & 35th St",41.83127423549,-87.6087991946,2119,1123,53.00
"Lincoln Park Conservatory",41.92393131136619,-87.63582453131676,12843,6803,52.97
"Public Rack - Karlov Ave & Milwaukee Ave",41.942702,-87.730011,138,73,52.90
"Washtenaw Ave & Polk St",41.87114,-87.69377,227,120,52.86
"Waveland/Wilton Corral",41.9489031,-87.653141,222,117,52.70
"Kedzie Ave & Archer Ave",41.81447,-87.70411,148,78,52.70
"Cottage Grove Ave & Oakwood Blvd",41.822985,-87.6071,990,521,52.63
"Stony Island Ave & 64th St",41.778881,-87.586647,289,152,52.60
"Wentworth Ave & Cermak Rd*",41.853214418519656,-87.63187229633331,6325,3327,52.60
"Public Rack - Ashland Orange Line CTA",41.83922899,-87.6656411,154,81,52.60
"Conservatory Dr & Lake St",41.885502,-87.716866,628,329,52.39
"Public Rack - Lincoln Ave & Fullteron Ave (Northwest)",41.92582741,-87.64943466,382,200,52.36
"Grace St & Cicero Ave",41.94973,-87.74695,258,135,52.33
"Sheffield/Cornelia Corral",41.9452875,-87.6542225,1063,554,52.12
"Wentworth Ave & 24th St",41.85008369347577,-87.6321405172348,1851,961,51.92
"Chicago Ave & Grove St",42.0452227,-87.6799575,214,111,51.87
"Western Blvd & 48th Pl",41.805661,-87.683392,515,267,51.84
"Public Rack - Halsted St Metra Station",41.86043539,-87.64683102,164,85,51.83
"Lincolnwood Dr & Central St",42.064854,-87.715297,440,228,51.82
"Wentworth Ave & 35th St",41.830777,-87.632504,2482,1282,51.65
"Chicago Ave & Sheridan Rd",42.050491,-87.677821,5968,3082,51.64
"Public Rack - Racine Ave & Nelson St",41.93726,-87.658981,905,467,51.60
"Michigan Ave & 9th St",41.87094,-87.62439,2009,1036,51.57
"Laramie Ave & Bloomingdale Ave",41.91432,-87.75572,185,95,51.35
"Evanston Civic Center",42.057044,-87.686554,1632,833,51.04
"Pine Ave & Division St",41.9019,-87.76389,198,101,51.01
"Washington/Green (Green Side) Corral",41.8833012,-87.6486656,100,51,51.00
"Public Rack - Oakley Blvd & Grand Ave",41.890651,-87.684103,114,58,50.88
"Michigan Ave & Pearson St",41.89766,-87.62351,7776,3950,50.80
"Indiana Ave & 40th St",41.82168,-87.6216,435,220,50.57
"Sacramento Blvd & Fulton St",41.88653,-87.70165,198,100,50.51
"Public Rack - Southport Ave & Webster Ave",41.92155961,-87.66337146,214,108,50.47
"Kilbourn Ave & Milwaukee Ave",41.9489235,-87.7400354,643,322,50.08
"Ashland Ave & 50th St",41.803023,-87.664699,236,118,50.00
"Lakewood Ave & Addison St",41.9472,-87.66085,1497,747,49.90
"MLK Jr Dr & 63rd St",41.78008063659,-87.6159428567,187,93,49.73
"Public Rack - Milwaukee Ave & Haussen Ct",41.937752,-87.721623,312,155,49.68
"Dodge Ave & Mulford St",42.023463,-87.699595,425,211,49.65
"Inner Lake Shore Dr & Aldine Ave",41.94232,-87.63989,4036,2004,49.65
"Jeffery Blvd & 67th St",41.77351755125,-87.5771428255,561,278,49.55
"Burnham Harbor",41.85741178707404,-87.61379152536392,9395,4631,49.29
"Kedzie Ave & Lake St",41.88460328501,-87.7063037436,601,296,49.25
"State St & 29th St",41.8417,-87.62693,321,158,49.22
"Western Ave & Lake St",41.88481,-87.68668,468,230,49.15
"Baltimore Ave & 87th St",41.73733560041666,-87.54851460456847,110,54,49.09
"Dorchester Ave & 63rd St",41.7804056457,-87.5914159893,756,371,49.07
"Lowell Ave & Armitage Ave",41.9170767,-87.7353543,404,198,49.01
"North Avenue Beach Pedestrian Bridge",41.91521,-87.62855,100,49,49.00
"Harding Ave & Division St",41.9023453,-87.7250744,168,82,48.81
"Glenwood Ave & Devon Ave",41.99791,-87.66545,532,259,48.68
"Sheridan Rd & Noyes St (NU)",42.058239,-87.677432,6982,3399,48.68
"Wabash Ave & Wacker Pl",41.886875,-87.62603,5302,2577,48.60
"Kedzie Ave & Roosevelt Rd",41.86649278172,-87.7064961757,138,67,48.55
"Calumet Ave & 21st St",41.85418424947,-87.6191537415,4831,2345,48.54
"Austin Ave & Milwaukee Ave",41.98736,-87.77805,169,82,48.52
"Ping Tom Park East Public Rack",41.8579886,-87.6319447,188,91,48.40
"Calumet Ave & 51st St",41.80229465088,-87.6180535802,554,268,48.38
"Public Rack - Dearborn St & Kinzie St 1",41.88907808,-87.62948506,765,370,48.37
"Central St Metra",42.063598,-87.69873,1188,573,48.23
"Public Rack - Halsted St & Fullerton Ave",41.92554512,-87.64781047,311,150,48.23
"Central Park Ave & North Ave",41.90965687563,-87.7166319516,1081,520,48.10
"Damen Ave & Madison St",41.88137,-87.67493,2498,1201,48.08
"Lavergne Ave & Diversey Ave",41.93128,-87.75141,231,111,48.05
"Francisco Ave & Bloomingdale Ave",41.91396,-87.6994,1647,790,47.97
"Public Rack - Wells St & North Ave",41.91095637,-87.63461626,728,349,47.94
"Archer Ave & Wentworth Ave",41.8546868,-87.6308531,2559,1224,47.83
"Halsted St & 51st St",41.80183164049,-87.645213904,343,164,47.81
"Woodlawn Ave & Lake Park Ave",41.81409271048,-87.5970051479,1023,489,47.80
"Harlem Ave & Irving Park Rd",41.95326,-87.80714,216,103,47.69
"University Ave & 65th St",41.77694,-87.59842,743,352,47.38
"The Salt Shed",41.90689,-87.65978,4251,2010,47.28
"Campbell Ave & Irving Park Rd",41.953634,-87.690782,384,181,47.14
"Public Rack - St Clair St & Ontario St",41.89366468,-87.6226649,111,52,46.85
"Hamlin Ave & Grand Ave",41.904035,-87.721563,171,80,46.78
"Clinton St & Polk St",41.87146651779,-87.6409491327,1144,535,46.77
"Harding Ave & 26th St",41.844218,-87.723347,120,56,46.67
"Wabash Ave & Cermak Rd",41.852619,-87.626488,3344,1559,46.62
"Kostner Ave & Bryn Mawr Ave",41.982765,-87.738094,324,151,46.60
"Le Mai Ave & Devon Ave",41.99722,-87.75687,103,48,46.60
