"start_station_name","start_lat","start_lng","total_rides","casual_rides","casual_percentage"
"Harding Ave & Chicago Ave",41.895313,-87.724738,111,43,38.74
"Shore Dr & 55th St",41.795212,-87.580715,11364,4395,38.67
"Sacramento Ave & Lunt Ave",42.0082,-87.70461,282,109,38.65
"Ashland Ave & Archer Ave",41.83920868403,-87.6656098589,510,197,38.63
"Delano Ct & Roosevelt Rd",41.867491,-87.63219,6649,2567,38.61
"Laflin St & Cullerton St",41.85491457576575,-87.66355991363525,2740,1057,38.58
"Kedzie Ave & Milwaukee Ave",41.928999,-87.70803,3715,1433,38.57
"Walsh Park",41.91461,-87.667968,5260,2028,38.56
"Hudson Ave & Armitage Ave",41.91818,-87.64,6138,2365,38.53
"Spaulding Ave & Division St",41.90270659438,-87.709219571,2028,780,38.46
"Kenosha Ave & Wellington Ave",41.934457,-87.733795,325,125,38.46
"State St & 35th St",41.8310363140161,-87.62679755687714,2346,902,38.45
"Dodge Ave & Main St",42.03463185161588,-87.69918769598006,718,276,38.44
"Drake Ave & Armitage Ave",41.91749,-87.71524,778,299,38.43
"Dearborn St & Erie St",41.894,-87.62922,7641,2935,38.41
"Southport Ave & Newport Ave Public Rack",41.944019,-87.663975,1542,592,38.39
"Western Ave & Ardmore Ave",41.98662,-87.68968,224,86,38.39
"Clark St & Berwyn Ave",41.978179,-87.668033,224,86,38.39
"Rockwell St & Fletcher St",41.93885,-87.69299,2122,813,38.31
"Laramie Ave & Madison St",41.880207,-87.755337,128,49,38.28
"South Shore Dr & 74th St",41.76218896038,-87.55927465,489,187,38.24
"Western Ave & 43rd St",41.81574,-87.68489,241,92,38.17
"Central Park Ave & Elbridge Ave",41.93533728263,-87.7168892935,3231,1232,38.13
"Virginia Ave & Catalpa Ave",41.98124,-87.70495,168,64,38.10
"Michigan Ave & 18th St",41.857926,-87.624336,8511,3242,38.09
"Lake/Aberdeen Corral",41.8856975,-87.6545365,113,43,38.05
"Spaulding Ave & Armitage Ave",41.91710803478932,-87.71022096276283,4509,1715,38.04
"Clinton St & Roosevelt Rd",41.8671177825,-87.6410879593,5680,2160,38.03
"Public Rack - Clifton Ave & Armitage Ave",41.91800358,-87.65627483,108,41,37.96
"Cottage Grove Ave & 51st St",41.803038,-87.606615,941,357,37.94
"Racine Ave & Belmont Ave",41.939743,-87.658865,10501,3982,37.92
"Lynch Ave & Elston Ave",41.98096,-87.76149,161,61,37.89
"LaSalle St & Illinois St",41.890762,-87.631697,20466,7751,37.87
"Archer (Damen) Ave & 37th St",41.826712,-87.683144,420,159,37.86
"State St & Harrison St",41.874053,-87.627716,7409,2804,37.85
"Halsted St & 21st St",41.85377981072743,-87.6466029882431,2421,916,37.84
"Public Rack - Damen Ave & Division St",41.90328073,-87.67622971,180,68,37.78
"Halsted St & Maxwell St",41.864883,-87.647071,7444,2809,37.74
"Milwaukee Ave & Wolfram St",41.93301,-87.71428,854,322,37.70
"MLK Jr Dr & 29th St",41.842052,-87.617,4131,1556,37.67
"Western Ave & Howard St",42.018901,-87.690048,1073,404,37.65
"Western Ave & Division St",41.902893,-87.687275,4349,1636,37.62
"Halsted St & Lake St",41.88576,-87.64711,3625,1363,37.60
"California Ave & Division St",41.903029,-87.697474,3692,1388,37.59
"Larrabee St & Webster Ave",41.921822,-87.64414,15163,5682,37.47
"Public Rack - Kingsbury Ave & Blackhawk St",41.90822033,-87.65166629,686,257,37.46
"Avers Ave & Belmont Ave",41.939408,-87.723574,2957,1106,37.40
"Warren Park East",42.00454962194,-87.6806661451,816,304,37.25
"Fairbanks Ct & Grand Ave",41.89184737210993,-87.62058019638062,13909,5180,37.24
"Racine Ave & Webster Ave",41.9216,-87.65859,2167,806,37.19
"Halsted St & Armitage Ave",41.91823,-87.64879,8430,3131,37.14
"St Clair St & Ohio St",41.89238,-87.62264,5948,2209,37.14
"Lincoln Ave & Dickens Ave",41.92012,-87.6416,5917,2196,37.11
"Elston Ave & George St",41.934003,-87.690823,1883,698,37.07
"Sacramento Blvd & Addison St",41.94609,-87.70298,448,166,37.05
"Damen Ave & Grand Ave",41.89239445296271,-87.67688512802124,1818,673,37.02
"Canal St & Taylor St",41.870257,-87.639474,5315,1966,36.99
"Bissell St & Armitage Ave",41.9182955629354,-87.65218332409859,6567,2427,36.96
"Ashland Ave & Belle Plaine Ave",41.956057,-87.668835,624,230,36.86
"Kimball Ave & Wrightwood Ave",41.92837,-87.71244,1110,409,36.85
"Oakley Ave & Touhy Ave",42.012342,-87.688243,562,207,36.83
"Ashland Ave & Grace St",41.950687,-87.6687,1443,531,36.80
"Green St & Randolph St*",41.883601657275165,-87.64862671494483,4096,1507,36.79
"St. Clair St & Erie St",41.89434513742426,-87.62279838323593,6341,2333,36.79
"Lakeview Ave & Fullerton Pkwy",41.925858,-87.638973,13480,4957,36.77
"Kedzie Ave & Leland Ave",41.96668636205,-87.7080519806,2002,736,36.76
"Kedzie Ave & George St",41.933886,-87.707262,1948,716,36.76
"Damen Ave & Cortland St",41.915983,-87.677335,10084,3706,36.75
"LaSalle St & Washington St",41.882664,-87.63253,479,176,36.74
"Wabash Ave & Jackson Blvd",41.87801,-87.62599,4417,1622,36.72
"LaSalle St & Adams St",41.87934437346,-87.6319852213,4363,1602,36.72
"Lincoln Ave & Montana St",41.92657,-87.6506,4743,1740,36.69
"Mies van der Rohe Way & Chestnut St",41.8985866514,-87.6219152258,13819,5068,36.67
"Glenwood Ave & Touhy Ave",42.012701,-87.666058,1675,614,36.66
"Southport Ave & Wellington Ave",41.93577461766458,-87.66360014677048,11733,4298,36.63
"Sheffield Ave & Wrightwood Ave",41.928712,-87.653833,13529,4946,36.56
"Elmwood Ave & Austin St",42.025784,-87.684107,1008,368,36.51
"Hoyne Ave & 34th St",41.8320245,-87.6778387,296,108,36.49
"Kenmore Ave & Catalpa Ave",41.98203,-87.65653,433,158,36.49
"Wabash Ave & Washington St",41.8832,-87.62662,10322,3766,36.49
"Public Rack - Wells St & Wacker Dr",41.88663267,-87.63405978,299,109,36.45
"Broadway & Oakdale Ave",41.93558,-87.64405,8159,2974,36.45
"Kilpatrick Ave & Parker Ave",41.93074,-87.74407,118,43,36.44
"Wells St & Evergreen Ave",41.906724,-87.63483,15249,5557,36.44
"California Ave & Francis Pl",41.91849115368695,-87.69742280244827,4348,1583,36.41
"California Ave & Cortez St",41.900363,-87.696704,4781,1737,36.33
"Lamon Ave & Belmont Ave",41.9390108,-87.7492834,179,65,36.31
"Ashland Ave & Belle Plaine Ave",41.95605,-87.66883,1719,624,36.30
"Francisco Ave & Chicago Ave",41.895745,-87.698653,2532,919,36.30
"Western Ave & Monroe St",41.88142526,-87.6866316818,1130,410,36.28
"Southport Ave & Diversey Pkwy",41.93266,-87.66347,3053,1107,36.26
"Leavitt St & Division St",41.902997,-87.683825,3858,1399,36.26
"W Armitage Ave & N Sheffield Ave",41.917805,-87.653449,1997,724,36.25
"Milwaukee Ave & Armitage Ave",41.91771,-87.68864,4292,1554,36.21
"Southport Ave & Clark St",41.957081,-87.664199,3786,1370,36.19
"Melvina Ave & Giddings Ave",41.96648,-87.78202,351,127,36.18
"Kimball Ave & Belmont Ave",41.93939395344302,-87.71206766366959,4019,1452,36.13
"Wabash Ave & Adams St",41.87947235235,-87.6256886059,7693,2779,36.12
"Elston Ave & Wabansia Ave",41.912919,-87.664169,2672,965,36.12
"Vincennes Ave & 79th St",41.7506,-87.63409,108,39,36.11
"Racine Ave & 18th St",41.8583996,-87.6564226,5477,1974,36.04
"Rockwell Ave & Logan Blvd",41.92811,-87.69268,1455,524,36.01
"Ridge Blvd & Touhy Ave",42.01213227742,-87.6829126443,892,321,35.99
"Columbus Dr & Randolph St",41.884728,-87.619521,20747,7463,35.97
"Normal Ave & Archer Ave",41.849527,-87.640591,933,335,35.91
"Racine Ave & 15th St",41.861267,-87.656625,2998,1076,35.89
"Public Rack - Wacker Dr & Madison St (East)",41.88184658,-87.63650719,131,47,35.88
"Greenview Ave & Diversey Pkwy",41.93258963429789,-87.66593635082245,2554,914,35.79
"Loomis St & Archer Ave",41.84163253965,-87.6574349533,1012,362,35.77
"Stockton Dr & Wrightwood Ave",41.93132,-87.638742,11859,4234,35.70
"Morgan St & 18th St",41.858086,-87.651073,4914,1753,35.67
"Kedzie Ave & Foster Ave",41.975672,-87.709261,1026,366,35.67
"Green St & Washington Blvd",41.88318130597391,-87.64872461557388,6124,2183,35.65
"Green St & Lake St ",41.88558,-87.64841,7749,2761,35.63
"Marshfield Ave & Wabansia Ave",41.91218,-87.66888,1392,496,35.63
"Bissell St & Armitage Ave*",41.9182955629354,-87.65218332409859,5771,2055,35.61
"Wood St & Milwaukee Ave",41.907655,-87.672552,1643,585,35.61
"Winchester Ave & Elston Ave",41.92409085038,-87.6764600747,2768,984,35.55
"Menard Ave & Lawrence Ave",41.96788,-87.77274,301,107,35.55
"Troy St & Grace St",41.95024,-87.70627,321,114,35.51
"Public Rack - Wells St & Monroe St",41.8806039,-87.63357568,169,60,35.50
"Kedzie Ave & Armitage Ave",41.91759,-87.70685,2998,1064,35.49
"McClurg Ct & Ohio St",41.892592119709725,-87.61728912591934,20796,7376,35.47
"Milwaukee Ave & Highland Ave",41.99636,-87.78674,384,136,35.42
"Daley Center Plaza",41.88424,-87.62963,1433,507,35.38
"Halsted St & Roscoe St",41.94367,-87.64895,13767,4870,35.37
"Damen Ave & Wellington Ave",41.93588,-87.67842,4733,1673,35.35
"Public Rack - Spaulding Ave & North Ave",41.910138,-87.709553,184,65,35.33
"Southport Ave & Irving Park Rd",41.954177,-87.664358,6698,2363,35.28
"Campbell Ave & Irving Park Rd",41.95362,-87.69079,465,164,35.27
"N Green St & W Lake St",41.885579,-87.648484,1018,359,35.27
"Eastlake Ter & Howard St",42.01920250193227,-87.66430288553238,1487,524,35.24
"Whipple St & Irving Park Rd",41.95422,-87.70444,338,119,35.21
"Damen Ave & Cullerton St",41.854966518753926,-87.67569959163664,2909,1022,35.13
"MLK Jr Dr & Pershing Rd",41.8246,-87.61678,1196,420,35.12
"Halsted St & 18th St",41.85750568031716,-87.64599144458771,3995,1403,35.12
"Halsted St & Fulton St",41.886871,-87.648089,2581,906,35.10
"Christiana Ave & Lawrence Ave",41.96835449363,-87.7118306675,2018,708,35.08
"Riley O'Neil Memorial Station at City Hall",41.8832351,-87.6321117,1075,377,35.07
"Public Rack - Rockwell & Division",41.90282,-87.692397,174,61,35.06
"Francisco Ave & Montrose Ave",41.9610471,-87.700901,693,243,35.06
"McCormick Blvd & Devon Ave",41.9972,-87.71105,1138,399,35.06
"N Shore Channel Trail & Argyle St",41.97222,-87.70282,505,177,35.05
"Blackstone Ave & Hyde Park Blvd",41.802562,-87.590368,4014,1406,35.03
"Morgan St & Hubbard St",41.89012,-87.65251,1799,630,35.02
"Marine Dr & Ainslie St",41.9716,-87.650154,6846,2394,34.97
"Lawndale Ave & 59th St",41.78638,-87.7157,103,36,34.95
"LaSalle Dr & Huron St",41.894877,-87.632326,10485,3664,34.95
"N Southport Ave & W Newport Ave",41.944019,-87.663975,1102,385,34.94
"Mason Ave & Montrose Ave",41.96056,-87.77588,269,94,34.94
"Kenmore Ave & School St",41.94166,-87.6556,212,74,34.91
"Wabash Ave & 9th St",41.870769,-87.625734,12201,4258,34.90
"Stony Island Ave & 57th St",41.79161,-87.58748,496,173,34.88
"DuSable Museum",41.79156801058,-87.6078521774,711,248,34.88
"Hoyne Ave & Balmoral Ave",41.979851,-87.681932,2102,733,34.87
"State St & 19th St",41.856594,-87.627542,2534,883,34.85
"Western Ave & Congress Pkwy",41.87474885079,-87.6864452757,2091,728,34.82
"Damen Ave & Wabansia Ave",41.91225,-87.67722,3761,1309,34.80
"Ashland Ave & Belle Plaine Ave",41.95453,-87.67071,477,166,34.80
"Tripp Ave & 15th St",41.86077,-87.73136,115,40,34.78
"Public Rack - Wells St & Ontario St",41.89338454,-87.63401972,118,41,34.75
"California Ave & Milwaukee Ave",41.922695,-87.697153,10701,3717,34.74
"Larrabee St & Armitage Ave",41.918084,-87.643749,7185,2496,34.74
"Racine Ave & Fullerton Ave",41.925566,-87.658416,8241,2863,34.74
"Wallace St & 28th St",41.843511,-87.6419,815,283,34.72
"Damen Ave & Charleston St",41.920082,-87.677855,5672,1969,34.71
"Clark St & Elmdale Ave",41.99086044812557,-87.66972362995148,2618,908,34.68
"Halsted St & Wrightwood Ave",41.929143,-87.649077,13381,4639,34.67
"Western Ave & Walton St",41.89841768945,-87.6865960164,5034,1745,34.66
"Clark St & Wellington Ave",41.9364968219,-87.6475386582,12248,4244,34.65
"Kildare Ave & Chicago Ave",41.8954357,-87.7334818,127,44,34.65
"Washington Blvd & Peoria St Public Rack",41.883043,-87.649931,387,134,34.63
"Central Ave & Parker Ave",41.9301785,-87.7661217,130,45,34.62
"Sheridan Rd & Buena Ave",41.958494,-87.654966,2126,736,34.62
"Wood St & Cortland St",41.91589,-87.67281,2316,800,34.54
"Halsted St & 35th St",41.830661,-87.647172,3012,1039,34.50
"Green St & Chicago Ave",41.893392,-87.650737,4557,1572,34.50
"Kenwood Ave & 57th St",41.79153,-87.59295,116,40,34.48
"Stetson Ave & South Water St",41.886835,-87.62232,9691,3339,34.45
"Winthrop Ave & Lawrence Ave",41.968812,-87.657659,4941,1702,34.45
"Clark St & Schreiber Ave",41.999245,-87.671249,2880,990,34.38
"Sacramento Ave & Pratt Blvd",42.00404,-87.70473,291,100,34.36
"Wood St & Milwaukee Ave",41.90629,-87.67151,3409,1169,34.29
"Clark St & Leland Ave",41.96708783918421,-87.66729086637497,8455,2896,34.25
"Washtenaw Ave & Ogden Ave",41.86193049278259,-87.69345045089722,590,202,34.24
"Public Rack - Hyde Park Blvd & 53rd St",41.799468,-87.584206,187,64,34.22
"St. Clair St & Erie St 1",41.8944,-87.62286,4655,1592,34.20
"Leavitt St/North Ave",41.910077,-87.682306,351,120,34.19
"Damen Ave & Pierce Ave",41.9093581,-87.6777585,13522,4622,34.18
"Smith Park",41.892048,-87.689397,1894,647,34.16
"Sawyer Ave & Fullerton Ave",41.92448,-87.7092,1003,342,34.10
"Albany Ave & Belmont Ave",41.93966,-87.70526,534,182,34.08
"Paulina St & Lincoln Ave Public Rack",41.943838,-87.671469,1212,413,34.08
"Damen Ave & Foster Ave",41.9758109755749,-87.67950989857908,5424,1846,34.03
"Milwaukee Ave & Grand Ave",41.891578,-87.648384,13524,4597,33.99
"Leavitt St & Belmont Ave",41.939354,-87.683282,4443,1510,33.99
"Narragansett Ave & Montrose Ave",41.959978,-87.786928,262,89,33.97
"Dearborn St & Van Buren St",41.876268,-87.629155,6960,2363,33.95
"State St & 29th St",41.841707,-87.626938,180,61,33.89
"Ashland Ave & Grand Ave",41.891072,-87.666611,4455,1508,33.85
"State St & Kinzie St",41.88937546663168,-87.62707650661469,14059,4757,33.84
"Racine Ave & Randolph St",41.884081224846845,-87.65692072930314,4035,1365,33.83
"Public Rack - Carpenter St & Madison St",41.8816062,-87.6535114,287,97,33.80
"Western Ave & Wabansia Ave",41.91208,-87.68752,2222,751,33.80
"Pine Grove Ave & Wellington Ave",41.93651,-87.64119,4666,1575,33.75
"Halsted St & Dickens Ave",41.919936,-87.64883,9177,3096,33.74
"Albany Ave & Bloomingdale Ave",41.91402671273,-87.705126462,3893,1313,33.73
"Clark St & Arlington Pl",41.92694,-87.64148,11801,3976,33.69
"Lake/Sangamon Corral",41.8854693,-87.6508941,101,34,33.66
"Sheridan Rd & Loyola Ave",42.00104377979,-87.6611982433,3970,1336,33.65
"Fairfield Ave & Pratt Blvd",42.0044482,-87.6985973,431,145,33.64
"Carpenter St & Lake St Public Rack",41.885586,-87.6531893,720,242,33.61
"Rockwell St & Cermak Rd",41.851644,-87.690621,598,201,33.61
"Morgan St & Lake St",41.88549170626906,-87.65228927135468,6072,2040,33.60
"Damen Ave & Ohio St",41.89239445296271,-87.67688512802124,3343,1122,33.56
"Racine Ave & Wrightwood Ave",41.928887,-87.658971,6139,2058,33.52
"Sedgwick St & Schiller St",41.907626,-87.638566,4457,1493,33.50
"Halsted St & 47th Pl",41.80813391481,-87.6456165545,224,75,33.48
"Western Ave & Lyndale St",41.9226,-87.68772,1536,514,33.46
"Granville Ave & Clark St",41.9944,-87.66983,1450,485,33.45
"Wells St & Concord Ln",41.912133,-87.634656,28135,9408,33.44
"Damen Ave & Melrose Ave",41.9406,-87.6785,4006,1336,33.35
"Dearborn St & Erie St",41.893992,-87.629318,10583,3528,33.34
"Drake Ave & Montrose Ave",41.96115407569,-87.7165690733,1276,425,33.31
"Clark St & Washington St",41.88301,-87.631,2135,711,33.30
"Rush St & Cedar St",41.90230870122,-87.627690528,12135,4039,33.28
"Monticello Ave & Lawrence Ave",41.9682,-87.71953,298,99,33.22
"Damen Ave & Evergreen Ave",41.90605,-87.67758,1903,632,33.21
"Public Rack - Orleans St & Grand Ave",41.89164251,-87.63679677,250,83,33.20
"Dearborn St & Division St",41.9043,-87.62991,10932,3629,33.20
"Damen Ave & Wicker Park Ave",41.9088152,-87.6771937,6644,2205,33.19
"Greenview Ave & Fullerton Ave",41.92533,-87.6658,7439,2468,33.18
"Peterson/Ridge Metra",41.9918,-87.67489,3928,1303,33.17
"Wilton Ave & Belmont Ave",41.940231918108594,-87.65294373035431,19149,6350,33.16
"Campbell Ave & Augusta Blvd",41.899578,-87.689497,3241,1074,33.14
"St. Louis Ave & Fullerton Ave",41.92481559681187,-87.71449506282805,2613,866,33.14
"Ashland Ave & Division St",41.90301,-87.66877,2077,688,33.12
"Desplaines St & Randolph St",41.883703,-87.644238,7411,2454,33.11
"Seeley Ave & Roscoe St",41.943403,-87.679618,5018,1661,33.10
"Public Rack - Kingsbury Ave & Eastman St",41.90687904,-87.6508806,423,140,33.10
"Kenneth Ave & Lawrence Ave",41.967821,-87.73998,251,83,33.07
"Larrabee St & Division St",41.90348607004,-87.6433534936,11208,3706,33.07
"Kedzie Ave & 60th St",41.78458,-87.70319,251,83,33.07
"Vincennes Ave & 95th St",41.72126,-87.65005,124,41,33.06
"Sheffield Ave & Wellington Ave",41.9362534831413,-87.65266209840775,12813,4236,33.06
"Kilpatrick Ave & Parker Ave",41.930736,-87.744082,118,39,33.05
"Whipple/Irving Park",41.954189,-87.704448,439,145,33.03
"Broadway & Roscoe Ave",41.9436,-87.64532,5709,1884,33.00
"Western Ave & Winnebago Ave",41.91552,-87.687022,6367,2098,32.95
"Clark St & Montrose Ave",41.961588,-87.666036,7125,2347,32.94
"Mies van der Rohe Way & Chicago Ave",41.896944626370825,-87.62175768613815,11808,3887,32.92
"Halsted St & 37th St",41.827059,-87.64572,793,261,32.91
"California Ave & Montrose Ave",41.961068,-87.695439,3002,988,32.91
"Broadway & Barry Ave",41.93758231600629,-87.6440978050232,16244,5344,32.90
"Southport Ave & Wrightwood Ave",41.928773,-87.663913,8927,2934,32.87
"Southport Ave & Roscoe St",41.943739,-87.66402,15085,4956,32.85
"Seminary Ave & Belden Ave",41.92339,-87.65599,2418,794,32.84
"Sheffield Ave & Fletcher St",41.93901,-87.65321,2760,906,32.83
"Public Rack - Washtenaw Ave & Superior St",41.894738,-87.695204,661,217,32.83
"California Ave & Altgeld St",41.92669,-87.697668,2987,980,32.81
"Stave St & Armitage Ave",41.917741,-87.691392,3703,1214,32.78
"Ritchie Ct & Banks St",41.906866,-87.626217,10792,3536,32.77
"Monticello Ave & Diversey Ave",41.93172,-87.71846,663,217,32.73
"Lincoln Ave & Peterson Ave",41.990267,-87.70857,657,215,32.72
"Sedgwick St & Webster Ave",41.922167,-87.638888,11852,3877,32.71
"Oakley Ave & Lyndale St",41.92261,-87.68513,2257,738,32.70
"Sedgwick St & North Ave",41.910983,-87.638525,12411,4058,32.70
"Ravenswood Ave & Irving Park Rd",41.95469,-87.67393,5117,1673,32.69
"Sacramento Ave & Lyndale St",41.92235,-87.70241,1462,478,32.69
"Broadway & Belmont Ave",41.940106,-87.645451,12068,3943,32.67
"Clark St & Schiller St",41.907993,-87.631501,14650,4784,32.66
"Green St & Chicago Ave",41.89621,-87.64902,830,271,32.65
"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,17788,5808,32.65
"Francisco Ave & Montrose Ave",41.96106,-87.70095,720,235,32.64
"Aberdeen St & Randolph St",41.884114,-87.654264,9655,3148,32.60
"Wells St & Polk St",41.87273154226308,-87.63351649045944,11391,3713,32.60
"Lincoln Ave & Diversey Pkwy",41.932225,-87.658617,10233,3334,32.58
"Central Ave & Chicago Ave",41.894958,-87.764902,172,56,32.56
"Albany Ave & Montrose Ave",41.961041,-87.705866,2324,756,32.53
"Public Rack - Emerald Ave & 43rd St",41.81643,-87.644754,163,53,32.52
"Honore St & Division St",41.903119,-87.673935,9331,3034,32.52
"Lincoln Ave & Belle Plaine Ave",41.95600355078549,-87.68016144633293,4788,1556,32.50
"Phillips Ave & 79th St",41.75182,-87.565211,191,62,32.46
"Public Rack - California Ave & Cortez St",41.900105,-87.696817,268,87,32.46
"Dayton St & North Ave",41.9105780349,-87.6494219288,11376,3688,32.42
"Greenview Ave & Jarvis Ave",42.015962,-87.66857,3097,1004,32.42
"Ashland Ave & Blackhawk St",41.907066,-87.667252,7144,2314,32.39
"Noble St & Ohio St",41.89242,-87.66206,5182,1678,32.38
"Talman Ave & Addison St",41.9466358306,-87.694614758,3136,1015,32.37
"Lock St & 31st St",41.837962,-87.659049,958,310,32.36
"Public Rack - Clark St & Oak St",41.90107054,-87.63147893,136,44,32.35
"Sheridan Rd & Argyle St",41.97328682025979,-87.65475958585739,7309,2363,32.33
"Clark St & Winnemac Ave",41.97334764047304,-87.6678554713726,13626,4404,32.32
"California Ave & 21st St",41.8537957934734,-87.69582286477088,920,297,32.28
"Ridge Blvd & Howard St",42.019276,-87.68452,797,257,32.25
"Linder Ave & Montrose Ave",41.96081,-87.76488,307,99,32.25
"Keystone Ave & Fullerton Ave",41.92459,-87.72785,1281,413,32.24
"Clark St & Lunt Ave",42.00901118058077,-87.67411172389984,3767,1214,32.23
"Franklin St & Randolph St",41.88439,-87.63517,1142,368,32.22
"Broadway & Argyle St",41.97423,-87.6597735,6570,2116,32.21
"Wells St & Madison St",41.88199,-87.63418,5090,1637,32.16
"Rush St & Superior St",41.89576474564,-87.6259080327,12437,3998,32.15
"Jeffery Blvd & 71st St",41.76663823695,-87.5764501141,448,144,32.14
"Broadway & Thorndale Ave",41.98974251144,-87.6601406209,6814,2190,32.14
"Woodlawn Ave & 55th St",41.795264,-87.596471,8844,2842,32.13
"Damen Ave & Division St",41.903266,-87.678435,8764,2815,32.12
"Lincoln Ave & Byron St",41.952372,-87.677296,4794,1540,32.12
"Paulina St & Cortland St",41.91626,-87.67019,3332,1070,32.11
"Morgan St & 31st St",41.8378,-87.65114,3293,1057,32.10
"Cornell Ave & Hyde Park Blvd",41.802406,-87.586924,6413,2056,32.06
"Paulina Ave & North Ave",41.90985465216731,-87.66993016004562,6323,2027,32.06
"Wells St & Randolph St",41.884295,-87.633963,10964,3513,32.04
"Peoria St & Kinzie St",41.88896,-87.64973,7268,2328,32.03
"Paulina St & 18th St",41.857901,-87.668745,4395,1405,31.97
"Clark St & Elm St",41.90297,-87.6313,24689,7877,31.90
"Clark St & Touhy Ave",42.01256011541,-87.6743671152,869,277,31.88
"Broadway & Wilson Ave",41.965221,-87.658139,8292,2643,31.87
"Wells St & Hubbard St",41.889906,-87.634266,23888,7614,31.87
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,13753,4382,31.86
"Leavitt St & Lawrence Ave",41.968885,-87.684001,3430,1092,31.84
"Blackstone Ave & 53rd St",41.79962,-87.59013,2877,915,31.80
"Central Park Ave & Bloomingdale Ave",41.914166,-87.716755,2441,776,31.79
"Cicero Ave & Wrightwood Ave",41.9279057,-87.7467295,302,96,31.79
"Halsted St & Fulton St",41.88672,-87.64729,4475,1420,31.73
"Sheffield Ave & Webster Ave",41.92154,-87.653818,11928,3785,31.73
"Kedzie Ave & Palmer Ct",41.921525,-87.707322,4007,1271,31.72
"Lincoln Ave & Addison St",41.946176,-87.673308,3747,1188,31.71
"Milwaukee Ave & Ainslie St",41.96861,-87.76108,1659,526,31.71
"Hampden Ct & Diversey Pkwy",41.93247,-87.64242,10469,3320,31.71
"Bernard St & Elston Ave",41.949923,-87.713949,1032,327,31.69
"Clark St & Wrightwood Ave",41.929546,-87.643118,15795,5003,31.67
"Spaulding Ave & Milwaukee Ave",41.93089,-87.71072,2331,738,31.66
"Franklin St & Illinois St",41.89102331025185,-87.63547986745834,11282,3571,31.65
"900 W Harrison St",41.874754,-87.649807,8495,2689,31.65
"Dearborn St & Adams St 2",41.87963,-87.62937,3052,966,31.65
"Clark St & Berwyn Ave",41.978017,-87.668019,10714,3390,31.64
"Orleans St & Chestnut St (NEXT Apts)",41.898203,-87.637536,7195,2276,31.63
"Southport Ave & Belmont Ave",41.93947775040509,-87.6637476682663,9609,3038,31.62
"Sangamon St & Washington Blvd",41.883165,-87.6511,7111,2248,31.61
"Southport Ave & Clybourn Ave",41.9215759,-87.6664335,516,163,31.59
"Budlong Woods Library",41.98366470886,-87.6964225611,741,234,31.58
"Homan Ave & Fillmore St",41.868114,-87.7109257,111,35,31.53
"Sheffield Ave & Fullerton Ave",41.9256163,-87.6536574,15844,4996,31.53
"Wells St & Washington St",41.883,-87.63396,4391,1383,31.50
"Clark St & Chicago Ave",41.89675,-87.63089,10615,3343,31.49
"Ravenswood Ave & Grace St",41.95051,-87.67407,432,136,31.48
"Western Ave & Roscoe St",41.943034,-87.687288,3008,947,31.48
"Kostner Ave & Wrightwood Ave",41.927957,-87.735952,518,163,31.47
"Karlov Ave & Lawrence Ave",41.967947,-87.730409,515,162,31.46
"Clark St & Fletcher St",41.93894,-87.65031,2976,935,31.42
"California Ave & Winona St",41.974712,-87.697852,223,70,31.39
"Larrabee St & North Ave",41.91021,-87.6435,5990,1879,31.37
"Wolcott (Ravenswood) Ave & Montrose Ave",41.961406,-87.676169,5714,1792,31.36
"Broadway & Granville Ave",41.9947796884,-87.6602845349,7104,2228,31.36
"Western Ave & Ardmore Ave",41.9867636,-87.6898796,214,67,31.31
"Ashland Ave & Wrightwood Ave",41.92883,-87.668507,5421,1697,31.30
"Western Ave & 21st St",41.854109,-87.685838,1291,404,31.29
"Avondale Ave & Irving Park Rd",41.953393,-87.732002,2578,806,31.26
"Elizabeth St & Randolph St",41.884336,-87.658902,9231,2884,31.24
"Damen Ave & Clybourn Ave",41.93221,-87.67859,2251,702,31.19
"Carpenter St & Huron St",41.894556,-87.653449,8435,2627,31.14
"Edgebrook Metra",41.99751,-87.76539,379,118,31.13
"Lincoln Ave & Sunnyside Ave",41.963004,-87.684781,6155,1915,31.11
"Dearborn Pkwy & Delaware Pl",41.898969,-87.629912,19698,6129,31.11
"Artesian Ave & 55th St",41.79402,-87.68577,135,42,31.11
"Drake Ave & Addison St",41.947326,-87.717582,1730,538,31.10
"Broadway & Cuyler Ave",41.955417,-87.6515,2453,763,31.10
"Public Rack - Clark St & Diversey Pkwy (North 2)",41.93333147,-87.64542123,505,157,31.09
"Broadway & Ridge Ave",41.9840446107,-87.6602738295,4477,1391,31.07
"Clarendon Ave & Junior Ter",41.961004,-87.649603,11714,3639,31.07
"Michigan Ave & 14th St",41.864059,-87.623727,10918,3386,31.01
"Shields Ave & 28th Pl",41.842733,-87.635491,1597,495,31.00
"Jefferson St & Monroe St",41.880329633634624,-87.64274597167967,6775,2097,30.95
"Rush St & Hubbard St",41.890173,-87.626185,8822,2728,30.92
"Public Rack - Dearborn St & Superior St",41.89571985,-87.62953575,220,68,30.91
"Milwaukee Ave & The 606",41.913754,-87.6826658,11381,3516,30.89
"North Branch St & Haines St",41.90056,-87.65079,667,206,30.88
