"rider_type","day_of_week","hour","total_rides"
"casual","Friday",6,4865
"member","Friday",6,17034
"casual","Friday",7,8118
"member","Friday",7,30485
"casual","Friday",8,10588
"member","Friday",8,37530
"casual","Friday",9,10309
"member","Friday",9,25742
"casual","Friday",10,12405
"member","Friday",10,21445
"casual","Friday",11,17121
"member","Friday",11,26593
"casual","Friday",12,20776
"member","Friday",12,32138
"casual","Friday",13,21636
"member","Friday",13,32615
"casual","Friday",14,21854
"member","Friday",14,32142
"casual","Friday",15,25154
"member","Friday",15,41049
"casual","Friday",16,30668
"member","Friday",16,54903
"casual","Friday",17,32833
"member","Friday",17,58789
"casual","Friday",18,29078
"member","Friday",18,48154
"casual","Friday",19,22129
"member","Friday",19,34533
"casual","Friday",20,16222
"member","Friday",20,23873
"casual","Friday",21,13558
"member","Friday",21,18138
"casual","Friday",22,14017
"member","Friday",22,15920
"casual","Friday",23,12287
"member","Friday",23,12316
"casual","Saturday",0,11967
"member","Saturday",0,9806
"casual","Saturday",1,8745
"member","Saturday",1,6628
"casual","Saturday",2,5612
"member","Saturday",2,3925
"casual","Saturday",3,2948
"member","Saturday",3,2128
"casual","Saturday",4,1719
"member","Saturday",4,1230
"casual","Saturday",5,1480
"member","Saturday",5,2328
"casual","Saturday",6,2839
"member","Saturday",6,5376
"casual","Saturday",7,4936
"member","Saturday",7,9960
"casual","Saturday",8,9728
"member","Saturday",8,17849
"casual","Saturday",9,16339
"member","Saturday",9,25167
"casual","Saturday",10,24810
"member","Saturday",10,31789
"casual","Saturday",11,31861
"member","Saturday",11,36272
"casual","Saturday",12,37142
"member","Saturday",12,38184
"casual","Saturday",13,37700
"member","Saturday",13,38029
"casual","Saturday",14,38753
"member","Saturday",14,37794
"casual","Saturday",15,39804
"member","Saturday",15,38210
"casual","Saturday",16,37763
"member","Saturday",16,37568
"casual","Saturday",17,32623
"member","Saturday",17,34495
"casual","Saturday",18,27791
"member","Saturday",18,32059
"casual","Saturday",19,21880
"member","Saturday",19,25042
"casual","Saturday",20,16300
"member","Saturday",20,17724
"casual","Saturday",21,15012
"member","Saturday",21,15852
"casual","Saturday",22,16039
"member","Saturday",22,15008
"casual","Saturday",23,13591
"member","Saturday",23,12139
"casual","Sunday",0,12804
"member","Sunday",0,9298
"casual","Sunday",1,8851
"member","Sunday",1,6288
"casual","Sunday",2,5963
"member","Sunday",2,4090
"casual","Sunday",3,3426
"member","Sunday",3,2435
"casual","Sunday",4,2202
"member","Sunday",4,1658
"casual","Sunday",5,2018
"member","Sunday",5,2111
"casual","Sunday",6,3073
"member","Sunday",6,4563
"casual","Sunday",7,4830
"member","Sunday",7,7169
"casual","Sunday",8,8065
"member","Sunday",8,12567
"casual","Sunday",9,13473
"member","Sunday",9,19572
"casual","Sunday",10,19998
"member","Sunday",10,26175
"casual","Sunday",11,24853
"member","Sunday",11,30409
"casual","Sunday",12,28615
"member","Sunday",12,32850
"casual","Sunday",13,29750
"member","Sunday",13,33135
"casual","Sunday",14,30531
"member","Sunday",14,33142
"casual","Sunday",15,31153
"member","Sunday",15,33883
"casual","Sunday",16,30057
"member","Sunday",16,33992
"casual","Sunday",17,26038
"member","Sunday",17,31631
"casual","Sunday",18,21863
"member","Sunday",18,28782
"casual","Sunday",19,15824
"member","Sunday",19,20804
"casual","Sunday",20,11550
"member","Sunday",20,15085
"casual","Sunday",21,8967
"member","Sunday",21,11669
"casual","Sunday",22,8122
"member","Sunday",22,8919
"casual","Sunday",23,5251
"member","Sunday",23,5042
